latitude,longitude
37.783287,-122.40895
37.7601,-122.421425
\N,\N
37.780773,-122.41871
37.77281,-122.41283
37.781597,-122.45418
37.786198,-122.42486
37.775627,-122.43283
37.793232,-122.39318
37.77552,-122.501595
37.783005,-122.412415
37.78248,-122.42411
37.78503,-122.40047
37.754932,-122.39594
37.78422,-122.47751
37.785492,-122.40785
37.783516,-122.415886
37.736317,-122.416695
37.792595,-122.4194
37.753956,-122.4829
37.75131,-122.40714
\N,\N
37.780006,-122.411934
37.775505,-122.4413
37.739723,-122.46699
\N,\N
37.714275,-122.47047
37.77446,-122.44952
37.78249,-122.44582
37.78444,-122.44625
37.76549,-122.412415
37.776543,-122.4175
37.752857,-122.42155
37.763966,-122.42398
37.77714,-122.507095
37.779186,-122.462006
37.717335,-122.43713
37.76578,-122.46965
37.760887,-122.435
37.760887,-122.435
37.71718,-122.38627
\N,\N
37.76918,-122.44592
37.715572,-122.44169
37.800888,-122.427826
37.764996,-122.42058
37.79025,-122.40056
37.780006,-122.411934
37.752544,-122.39264
37.8022,-122.41797
\N,\N
37.772457,-122.416306
37.785583,-122.41462
37.786247,-122.42824
37.801758,-122.42126
37.760235,-122.419205
37.793232,-122.39318
37.785378,-122.41626
37.799,-122.44265
37.769867,-122.42236
37.780994,-122.41315
37.780994,-122.41315
37.780495,-122.432144
37.780495,-122.432144
37.76149,-122.425026
37.720177,-122.39485
37.806343,-122.41543
37.773994,-122.493965
37.785564,-122.42978
37.787567,-122.40659
37.711403,-122.43187
37.788048,-122.40284
37.7814,-122.40925
37.7758,-122.41418
37.77872,-122.41474
37.77872,-122.41474
37.775604,-122.403076
37.761135,-122.48985
37.773476,-122.41803
37.780773,-122.41871
37.753956,-122.4829
37.7701,-122.45373
37.78974,-122.41208
37.78456,-122.40733
37.73559,-122.39042
37.72916,-122.39242
\N,\N
37.784237,-122.41771
37.806343,-122.41543
37.80696,-122.4105
37.73265,-122.38428
37.783875,-122.457924
37.782074,-122.412224
37.77746,-122.413155
37.77746,-122.413155
37.785744,-122.40583
37.71501,-122.47299
\N,\N
37.78122,-122.389755
37.77589,-122.41513
37.76182,-122.43287
37.76182,-122.43287
37.805286,-122.42365
37.788498,-122.40677
37.730694,-122.43564
37.76707,-122.42661
37.785744,-122.40583
37.74616,-122.38718
37.754158,-122.45962
\N,\N
37.716595,-122.46022
37.78983,-122.418846
37.789227,-122.40859
37.77872,-122.41474
37.76305,-122.41948
37.79383,-122.40622
37.783722,-122.41424
37.783722,-122.41424
37.781864,-122.413864
37.775894,-122.419495
37.75831,-122.472725
37.77111,-122.38953
37.738846,-122.39781
\N,\N
37.745598,-122.50274
37.728233,-122.37917
37.805695,-122.40536
37.78393,-122.4126
37.76897,-122.44757
37.759304,-122.40794
37.773315,-122.45097
37.753628,-122.457756
37.784237,-122.41771
37.763496,-122.41849
37.78658,-122.49312
37.759075,-122.49401
37.753704,-122.420815
37.727585,-122.458206
37.75782,-122.43249
37.71619,-122.48161
37.801094,-122.42618
37.79849,-122.40715
37.774994,-122.45281
37.80696,-122.4105
37.77516,-122.40363
37.789265,-122.401375
37.805496,-122.422005
37.730896,-122.40214
37.805496,-122.422005
37.77772,-122.416405
37.794353,-122.419754
37.741108,-122.38847
37.77999,-122.41349
\N,\N
37.779892,-122.42189
37.711273,-122.39261
37.728672,-122.43575
37.755833,-122.4122
37.788498,-122.40677
37.783516,-122.415886
37.784454,-122.40849
\N,\N
37.761948,-122.4442
37.77746,-122.413155
37.78331,-122.41753
37.77623,-122.41471
37.79208,-122.40887
37.789204,-122.42378
37.77114,-122.44553
37.752304,-122.41736
37.729874,-122.37201
37.780575,-122.42026
37.78456,-122.40733
37.752304,-122.41736
37.752304,-122.41736
37.72949,-122.3814
37.78097,-122.40871
37.768272,-122.41998
37.768272,-122.41998
37.768272,-122.41998
37.785034,-122.441536
37.7777,-122.4046
37.761417,-122.39447
37.77516,-122.40363
37.780006,-122.411934
37.800835,-122.42107
37.73559,-122.39042
37.781864,-122.413864
37.786827,-122.41993
37.786102,-122.41809
37.762318,-122.462975
37.78706,-122.42177
37.805496,-122.422005
37.72916,-122.39242
37.785378,-122.41626
37.785378,-122.41626
37.785378,-122.41626
37.77061,-122.414345
37.78734,-122.4234
37.787766,-122.405045
37.760887,-122.435
37.74174,-122.41194
37.748363,-122.429344
37.784237,-122.41771
37.78144,-122.45663
37.764378,-122.38792
37.77669,-122.41101
37.720726,-122.44661
37.799488,-122.40901
37.799488,-122.40901
37.781178,-122.4117
37.77136,-122.44383
37.770008,-122.44694
37.78736,-122.408226
37.769604,-122.42631
37.78966,-122.39568
37.785378,-122.41626
37.785378,-122.41626
37.711273,-122.39261
37.78393,-122.4126
37.765053,-122.41967
37.71161,-122.4048
37.783215,-122.41077
37.783875,-122.457924
37.786617,-122.42157
37.78445,-122.41607
37.76492,-122.42189
37.76492,-122.42189
37.75166,-122.46761
37.747288,-122.459175
37.783516,-122.415886
37.783516,-122.415886
37.721577,-122.43715
37.791756,-122.42598
37.791756,-122.42598
37.730976,-122.40609
37.74467,-122.38976
\N,\N
\N,\N
37.729908,-122.39718
37.77487,-122.44628
37.78456,-122.40733
37.756832,-122.4067
37.756645,-122.50674
37.787457,-122.39118
37.766407,-122.424255
37.754494,-122.434395
37.733143,-122.40434
37.7619,-122.418274
37.764977,-122.4209
37.80811,-122.40905
37.76586,-122.43326
37.780994,-122.41315
37.717506,-122.47438
37.781258,-122.45886
37.790974,-122.41739
37.75227,-122.41788
37.75004,-122.48692
37.734695,-122.42784
37.786926,-122.42667
37.758583,-122.41984
37.755898,-122.39783
37.77623,-122.41471
37.79097,-122.40238
37.77623,-122.41471
37.765182,-122.41749
\N,\N
37.766663,-122.433334
37.77075,-122.42485
37.789318,-122.415375
37.79153,-122.41076
37.77999,-122.41349
37.77082,-122.409134
37.77999,-122.41349
37.729908,-122.39718
37.774296,-122.42076
37.72698,-122.39357
37.768177,-122.41073
37.78807,-122.42524
37.758698,-122.41796
37.745296,-122.44009
37.7091,-122.40598
37.784237,-122.41771
37.807484,-122.41398
37.748634,-122.42484
37.78483,-122.443184
37.78393,-122.4126
37.739803,-122.43176
37.782074,-122.412224
\N,\N
37.74291,-122.478905
37.77082,-122.409134
37.78693,-122.45687
37.788536,-122.396034
37.75557,-122.416565
37.78916,-122.405304
37.79843,-122.40223
\N,\N
\N,\N
37.716137,-122.463524
37.774044,-122.492905
37.77966,-122.40929
37.775524,-122.42607
37.775524,-122.42607
37.773457,-122.42736
37.788498,-122.40677
37.790672,-122.41227
37.805416,-122.415245
37.761276,-122.48664
37.78239,-122.4473
37.787548,-122.42176
37.77746,-122.413155
37.798443,-122.40988
37.743835,-122.46103
37.728405,-122.439095
37.786102,-122.41809
37.786102,-122.41809
37.7422,-122.49498
37.760834,-122.40414
37.798573,-122.408806
37.805824,-122.41195
37.807163,-122.4089
37.757034,-122.4189
37.79037,-122.42233
37.789368,-122.39186
37.752304,-122.41736
37.757034,-122.4189
37.777817,-122.423164
37.79635,-122.39696
37.768246,-122.453354
37.7944,-122.42651
37.72873,-122.4313
37.817825,-122.37125
37.768177,-122.41073
37.78097,-122.40871
37.77666,-122.412155
37.763573,-122.417336
37.77283,-122.43228
\N,\N
37.80696,-122.4105
37.77985,-122.50943
37.787548,-122.42176
37.787663,-122.41335
\N,\N
37.767056,-122.47328
37.779278,-122.39221
37.757763,-122.4068
37.7845,-122.41946
37.7845,-122.41946
37.78622,-122.4322
37.78249,-122.44582
37.78393,-122.4126
\N,\N
37.724987,-122.44307
37.743122,-122.421486
37.780773,-122.41871
37.723446,-122.40007
37.780006,-122.411934
37.727806,-122.38169
37.72695,-122.476036
37.745296,-122.44009
37.78196,-122.42064
37.76148,-122.45196
37.78641,-122.408035
37.758446,-122.46592
37.78736,-122.408226
37.77211,-122.430435
37.75316,-122.42981
37.72695,-122.476036
37.79849,-122.435776
37.785492,-122.40785
37.78641,-122.408035
37.75792,-122.477806
37.775627,-122.43283
37.769592,-122.41558
37.787548,-122.42176
37.786102,-122.41809
37.784046,-122.40371
37.80562,-122.413605
37.76643,-122.464386
37.801655,-122.429665
37.738277,-122.41274
37.771008,-122.41965
37.749283,-122.504074
37.74454,-122.4844
37.77999,-122.41349
37.786835,-122.41234
37.76586,-122.43326
37.72167,-122.46628
\N,\N
37.78706,-122.42177
37.77189,-122.48179
37.769733,-122.42458
37.783722,-122.41424
37.7091,-122.40598
37.771008,-122.3912
37.780926,-122.41367
37.773403,-122.42401
37.786087,-122.43327
37.772957,-122.42376
37.755623,-122.39576
37.773666,-122.4257
37.766575,-122.4395
37.781498,-122.3998
37.770023,-122.439255
37.817825,-122.37125
37.778633,-122.43176
37.788498,-122.40677
\N,\N
37.780285,-122.433784
37.730164,-122.39897
37.718235,-122.45611
37.787098,-122.387794
37.782795,-122.414055
37.776463,-122.42626
37.786728,-122.41316
